Gene.Name,Presence.,Bigg.ID.Name,essential,beta,zscore,p.value,fdr
ACADS,TRUE,35_AT1,1,-0.097534,-1.3263,0.00091248,0.0047009
ACADSB,TRUE,36_AT1,0,-0.023867,-0.24942,0.072252,0.15952
ACADVL,TRUE,37_AT1,1,-0.044084,-0.45394,0.021983,0.062945
ACAT1,TRUE,38_AT1,0,-0.015027,-0.155,0.10933,0.22114
ACAT2,TRUE,39_AT1,0,0.081471,0.91638,0.62107,0.75703
ACE,TRUE,1636_AT1,1,-0.054083,-0.5909,0.011116,0.036364
ACE2,TRUE,59272_AT1,0,0.0811,0.8767,0.62596,0.76107
ACER1,TRUE,125981_AT1,0,-0.024447,-0.30186,0.070925,0.15804
ACER2,TRUE,340485_AT1,1,-0.036333,-0.29706,0.036251,0.093978
ACER3,TRUE,55331_AT1,0,0.015252,0.15015,0.37213,0.54277
ACHE,TRUE,43_AT1,1,-0.055151,-0.72199,0.01012,0.033471
ACLY,TRUE,47_AT1,1,-0.18413,-2.2345,0,0
ACO1,TRUE,48_AT1,0,0.065235,0.54568,0.84596,0.90555
ACO2,TRUE,50_AT1,1,-0.31922,-2.4241,0,0
ACOT1,TRUE,641371_AT1,0,-0.0037559,-0.046514,0.18416,0.33159
ACOT11,TRUE,26027_AT1,0,0.0099822,0.11051,0.30958,0.4736
ACOT12,TRUE,134526_AT1,0,0.053035,0.70848,0.95097,0.97029
ACOT2,TRUE,10965_AT1,0,0.0091768,0.082454,0.30195,0.46547
ACOT4,TRUE,122970_AT1,0,0.16178,1.2132,0.08735,0.18522
ACOT6,TRUE,641372_AT1,0,-0.020855,-0.19594,0.083866,0.17941
ACOT7,TRUE,11332_AT1,0,0.1961,1.0365,0.031024,0.083389
ACOT8,TRUE,10005_AT1,0,0.00027156,0.0045919,0.21692,0.37001
ACOX1,TRUE,51_AT1,0,0.0075198,0.068152,0.28611,0.44863
ACOX2,TRUE,8309_AT1,0,0.015819,0.17467,0.37893,0.55069
ACOX3,TRUE,8310_AT1,1,-0.10012,-1.2006,0.00091248,0.0047009
ACP1,TRUE,52_AT1,1,-0.053049,-0.54237,0.012028,0.03877
ACP2,TRUE,53_AT1,0,0.071371,0.66033,0.75313,0.84456
ACSBG1,TRUE,23205_AT1,1,-0.067396,-0.99669,0.003484,0.013208
